"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.02641","","","","","","","","","","99.1384099999999","","","","","","","","",
"Afghanistan","AFG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","30.06635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.99005","","","","","","","",
"Angola","AGO","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.19449","","","","","","","","","","","","","77.43113","","","","",
"Albania","ALB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4351499999999","","","","","","","98.83121","","","98.79119","99.2313999999999","","","","","","",
"Andorra","AND","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","62.01336","62.43227","63.00533","63.73589","64.441","65.22419","66.41365","67.59594","68.96229","69.84421","70.96455","71.98983","73.08461","74.56175","75.49942","75.23815","76.04739","76.91028","77.93968","78.72458","79.37666","80.06881","80.61563","81.56403","82.5614","83.49282","84.16476","84.63714","83.15084","83.92297","84.59842","81.85808","82.26961","82.62586","83.70435","84.41675","84.64643","84.79429","84.9456","","",
"United Arab Emirates","ARE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","63.04761","","","","","","","","","","82.47264","","","","","","","","","","","","","","","","","","","","95.00645","","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","96.88254","","","","","","","","","","","98.30464","","","","","","","","","","98.9166599999999","","","","","99.44608","","","99.58429","99.29864","99.62824","99.37587","99.55132","99.29671","99.5597","99.5027099999999","","",
"Armenia","ARM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.90996","","","","","","","","","","","","99.80728","","","","","","","","","","99.8473999999999","","","","","","","",
"American Samoa","ASM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","97.65421","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8861","","","","","","","","100","","99.9513","99.9505999999999","99.9441","99.93675","99.95247","99.95699","99.94278","99.9404799999999","","",
"Burundi","BDI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","30.97659","","","","","","","","","","","53.55521","","","","","","","","","","73.33006","","","","","","","","61.73879","","","","","","79.55961","","","","",
"Belgium","BEL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","29.78674","","","","","","","","","","","","","39.87661","","","","","","","","","","45.30962","","","","42.3627","","","","","","52.49247","","","","","","",
"Burkina Faso","BFA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","14.37752","","","","","","","","","","","","","","","","20.18029","","","","","19.41415","","","","","","","31.22926","","32.96662","32.7306","39.25778","","","","","","","50.0963","","","","",
"Bangladesh","BGD","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","35.65325","","","","","","","","","","44.68083","","","","","","","","","","63.62273","","","","","","61.87281","","","","65.71463","77.83291","85.52715","85.55473","87.8887699999999","92.24265","92.95076","",
"Bulgaria","BGR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.21248","","","","","","","","","","97.86505","","","","","","","",
"Bahrain","BHR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","86.29309","","","","","","","","","","96.93811","","","","","","","","","","97.02471","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.01996","","","","","","","","","99.79393","","","","","","","","","","","99.46231","","99.66243","","","","","",
"Belarus","BLR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.76628","","","","","","","","","","99.7918399999999","","","","","","","","","","99.82321","","","","","","","","","",
"Belize","BLZ","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.64147","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","83.55198","","","","","","","","","","","","","","","","93.8961099999999","","","","","","","","","97.32378","","","","","","99.44136","99.1225","99.38397","","99.00752","98.99588","","","99.39917","","","",
"Brazil","BRA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","83.91427","","","","","","","","","","","","","","","","","","","","94.18411","","","","96.84386","","97.5823","97.80063","97.84363","98.06554","97.51412","98.48692","98.61966","98.73668","98.84569","98.96375","","","",
"Barbados","BRB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","99.75519","","","","","","","","","","","","","","99.9","","","","","","","","","","99.9","","","","","","","","","","99.9","","","","","","","","","","99.9","","","","",
"Brunei Darussalam","BRN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","93.68101","","","","","","","","","","98.09567","","","","","","","","","","98.89379","","","","","","","","","","99.36677","","","","","","","",
"Bhutan","BTN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.40521","","","","","","","87.31836","","","","","","",
"Botswana","BWA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.2583","","","","","","","","","","","","93.95744","","","","","","","","","","","97.7","","","","",
"Central African Republic","CAF","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","37.03696","","","","","","","","","","","","","48.20233","","","","","","","","","","","","60.80705","","","","","","","","","","36.35627","","","","","","","","",
"Canada","CAN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","99.48585","99.48332","99.47945","99.48382","99.47853","99.47276","99.46882","99.46506","99.45988","99.45553","99.45239","99.44974","99.44654","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","96.65398","","","","","","","","","","98.42797","","","","","","","","","","98.9909799999999","","","","","","99.15358","98.87238","","99.40819","","99.04828","","99.3539399999999","","","",
"China","CHN","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","88.77334","","","","","","","","94.28147","","","","","","","","","","98.8587299999999","","","","","","","","","","99.64229","","","","","","","","",
"Cote d'Ivoire","CIV","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.50848","","","","","","","","","","47.05871","","60.72365","","","","","","","","","","","","48.30996","","53.02069","","","","",
"Cameroon","CMR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","68.81703","","","","","","","","","","","","","","","","","","","","","","","","83.09829","","","","","","","83.13557","","","80.57444","","","","","","","","",
