area,area_kana,contains
日本,にほん,北海道 東北 南関東 北関東・甲信 北陸 東海 近畿 中国 四国 九州
北海道,ほっかいどう,北海道
東北,とうほく,青森 岩手 宮城 秋田 山形 福島
南関東,みなみかんとう,埼玉 千葉 東京 神奈川
北関東・甲信,きたかんとう・ほくしん,茨城 栃木 群馬 山梨 長野
北陸,ほくりく,新潟 富山 石川 福井
東海,とうかい,岐阜 静岡 愛知 三重
近畿,きんき,滋賀 京都 大阪 兵庫 奈良 和歌山
中国,ちゅうごく,鳥取 島根 岡山 広島 山口
四国,しこく,徳島 香川 愛媛 高知
九州,きゅうしゅう,福岡 佐賀 長崎 熊本 大分 宮崎 鹿児島 沖縄
福井,ふくい,嶺北 嶺南
嶺北,れいほく,あわら市 勝山市 大野市 坂井市 福井市 永平寺町 池田町 越前町 鯖江市 越前市 南越前町
嶺南,れいなん,高浜町 若狭町 美浜町 敦賀市 おおい町 小浜市
長野,ながの,北アルプス 長野 北信 松本 上田 佐久 木曽 上伊那 諏訪 南信州		
北アルプス,きたあるぷす,小谷村 白馬村 大町市 池田町 松川村
長野,ながの,長野市 信濃町 飯綱町 小布施町 小川村 千曲市 坂城町 高山村 須坂市
北信,ほくしん,飯山市 野沢温泉村 栄村 中野市 木島平村 山ノ内町
松本,まつもと,安曇野市 生坂村 麻績村 筑北村 松本市 山形村 朝日村 塩尻市
上田,うえだ,上田市 青木村 東御市 長和町
佐久,さく,小諸市 御代田町 軽井沢町 立科町 佐久市 佐久穂町 小海町 南牧村 北相木村 南相木村 川上村
木曽,きそ,王滝村 木曽町 上松町 木祖村 大桑村 南木曽町
上伊那,かみいな,辰野町 箕輪町 南箕輪村 伊那市 宮田村 駒ヶ根市 飯島町 中川村
諏訪,すわ,岡谷市 下諏訪町 諏訪市 茅野市 原村 富士見町
南信州,みなみしんしゅう,飯田市 松川町 高森町 豊丘村 大鹿村 喬木村 阿智村 下條村 泰阜村 平谷村 根羽村 売木村 阿南町 天龍村
