id,name_ja,name,shortname_ja,code3,tabularmap,version_tabularmap
0,日本,Japan,日本,JPN,"- - 鳥取県 石川県 富山県 青森県 北海道
山口県 島根県 岡山県 福井県 新潟県 秋田県 岩手県
長崎県 福岡県 広島県 滋賀県 長野県 山形県 宮城県
佐賀県 大分県 兵庫県 京都府 山梨県 群馬県 福島県
熊本県 宮崎県 大阪府 奈良県 岐阜県 埼玉県 栃木県
鹿児島県 愛媛県 香川県 和歌山県 静岡県 東京都 茨城県
沖縄県 高知県 徳島県 三重県 愛知県 神奈川県 千葉県",
1,北海道,Hokkaido,北海道,HKD,"神恵内村 積丹町 羽幌町 初山別村 礼文町 利尻町 利尻富士町 稚内市 猿払村 浜頓別町 枝幸町 雄武町
泊村 古平町 増毛町 小平町 遠別町 天塩町 幌延町 豊富町 中頓別町 滝上町 西興部村 興部町
共和町 余市町 石狩市 当別町 苫前町 幌加内町 中川町 音威子府村 美深町 遠軽町 湧別町 紋別市
仁木町 小樽市 札幌市 江別市 留萌市 剣淵町 和寒町 名寄市 士別市 下川町 置戸町 佐呂間町
岩内町 赤井川村 北広島市 北竜町 沼田町 旭川市 鷹栖町 比布町 当麻町 愛別町 訓子府町 北見市
蘭越町 倶知安町 新篠津村 雨竜町 秩父別町 深川市 東神楽町 美瑛町 東川町 上川町 小清水町 網走市
寿都町 京極町 喜茂別町 新十津川町 妹背牛町 滝川市 上富良野町 富良野市 中富良野町 陸別町 大空町 斜里町
黒松内町 真狩村 留寿都村 浦臼町 砂川市 赤平市 芦別市 占冠村 南富良野町 上士幌町 清里町 羅臼町
島牧村 ニセコ町 月形町 奈井江町 上砂川町 歌志内市 夕張市 日高町 新得町 足寄町 美幌町 標津町
せたな町 長万部町 恵庭市 岩見沢市 美唄市 三笠市 むかわ町 平取町 鹿追町 本別町 津別町 中標津町
奥尻町 今金町 八雲町 千歳市 南幌町 長沼町 厚真町 新冠町 清水町 士幌町 弟子屈町 別海町
乙部町 江差町 森町 豊浦町 栗山町 苫小牧市 安平町 帯広市 芽室町 音更町 標茶町 根室市
上ノ国町 厚沢部町 鹿部町 洞爺湖町 由仁町 白老町 新ひだか町 中札内村 更別村 池田町 鶴居村 浜中町
福島町 知内町 七飯町 - 壮瞥町 登別市 浦河町 広尾町 幕別町 浦幌町 白糠町 厚岸町
松前町 木古内町 北斗市 函館市 伊達市 室蘭市 様似町 えりも町 大樹町 豊頃町 釧路市 釧路町",
2,青森県,Aomori,青森,AOM,"外ケ浜町 - - 大間町 風間浦村 東通村
今別町 蓬田村 平内町 佐井村 むつ市 六ヶ所村
中泊町 五所川原市 青森市 野辺地町 横浜町 三沢市
つがる市 鶴田町 藤崎町 七戸町 東北町 六戸町
鰺ヶ沢町 板柳町 田舎舘村 十和田市 五戸町 おいらせ町
西目屋村 弘前市 黒石市 新郷村 南部町 八戸市
深浦町 大鰐町 平川市 田子町 三戸町 階上町",
3,岩手県,Iwate,岩手,IWT,"- 二戸市 軽米町 洋野町 久慈市
八幡平市 一戸町 葛巻町 九戸村 野田村
滝沢町 岩手町 岩泉町 田野畑村 普代村
雫石町 矢巾町 盛岡市 宮古市 山田町
西和賀町 紫波町 花巻市 大槌町 釜石市
北上市 金ケ崎町 遠野市 住田町 大船渡市
奥州市 平泉町 一関市 陸前高田市 -",
4,宮城県,Miyagi,宮城,MYG,"- 大崎市 栗原市 登米市 南三陸町 気仙沼市
加美町 色麻町 美里町 涌谷町 石巻市 女川町
大和町 大衡村 大郷町 松島町 東松島 七ヶ浜町
富谷市 村田町 仙台市 利府町 塩竃市 多賀城市
川崎町 柴田町 大河原町 岩沼市 名取市 亘理町
七ヶ宿町 蔵王町 白石市 角田市 丸森町 山元町",
5,秋田県,Akita,秋田,AKT,"八峰町 藤里町 大館市 小坂町 鹿角市
能代市 三種町 上小阿仁村 北秋田市 仙北市
男鹿市 大潟村 八郎潟町 五城目町 大仙市
潟上市 井川町 秋田市 横手市 美郷町
にかほ市 由利本荘市 羽後町 湯沢市 東成瀬村",
6,山形県,Yamagata,山形,YGT,"遊佐町 真室川町 鮭川村 金山町 新庄市 最上町
酒田市 庄内町 大蔵村 戸沢村 船形町 尾花沢市
三川町 大江町 村山市 中山町 大石田町 東根市
鶴岡市 朝日町 寒河江市 山辺町 河北町 天童市
西川町 長井市 白鷹町 南陽市 上山市 山形市
- 小国町 飯豊町 川西町 高畠町 米沢市",v2
7,福島県,Fukushima,福島,FKS,"- - - - - 国見町 伊達市 新地町
西会津町 喜多方市 北塩原村 福島市 桑折町 川俣町 飯舘村 相馬市
会津坂下町 磐梯町 猪苗代町 大玉村 本宮市 二本松市 大熊町 南相馬市
柳津町 湯川村 会津若松市 郡山市 三春町 田村市 富岡町 浪江町
三島町 会津美里町 須賀川市 玉川村 平田村 小野町 川内村 双葉町
金山町 昭和村 鏡石町 石川町 浅川町 古殿町 葛尾村 楢葉町
只見町 下郷町 天栄村 泉崎村 中島村 矢吹町 鮫川村 広野町
檜枝岐村 南会津町 西郷村 白河市 棚倉町 矢祭町 塙町 いわき市",
8,茨城県,Ibaraki,茨城,IBR,"- - - - 常陸大宮市 高萩市 北茨城市
古河市 結城市 筑西市 城里町 大子町 東海村 日立市
五霞町 八千代町 桜川市 笠間市 常陸太田市 那珂市 ひたちなか市
境町 坂東市 下妻市 石岡市 茨城町 水戸市 大洗町
守谷市 常総市 つくば市 土浦市 かすみがうら市 小美玉市 鉾田市
つくばみらい市 牛久市 阿見町 美浦村 霞ヶ浦 行方市 鹿嶋市
取手市 龍ケ崎市 利根町 河内町 稲敷市 潮来市 神栖市",v1
9,栃木県,Tochigi,栃木,TCG,"日光市 塩谷町 那須塩原市 大田原市 那須町
鹿沼市 矢板市 さくら市 高根沢町 那珂川町
壬生町 宇都宮市 上三川町 芳賀町 那須烏山市
佐野市 栃木市 下野市 真岡市 市貝町
足利市 野木町 小山市 益子町 茂木町",v2.1
10,群馬県,Gunma,群馬,GNM,"嬬恋村 草津町 中之条町 高山村 みなかみ町 川場村 片品村
長野原町 東吾妻町 渋川市 昭和村 桐生市 沼田市 みどり市
安中市 榛東村 吉岡町 高崎市 前橋市 太田市 邑楽町
下仁田町 南牧村 富岡市 玉村町 千代田町 大泉町 館林市
上野村 神流町 甘楽町 藤岡市 伊勢崎市 明和町 板倉町",v2
11,埼玉県,Saitama,埼玉,SIT,"本庄市 深谷市 熊谷市 行田市 羽生市 加須市 幸手市
上里町 美里町 嵐山町 滑川町 鴻巣市 久喜市 杉戸町
神川町 寄居町 東松山市 吉見町 北本市 白岡市 宮代町
東秩父村 小川町 鳩山町 川島町 桶川市 蓮田市 春日部市
長瀞町 ときがわ町 坂戸市 川越市 伊奈町 越谷市 松伏町
皆野町 越生町 鶴ヶ島市 ふじみ野市 上尾市 さいたま市 吉川市
小鹿野町 毛呂山町 狭山市 富士見市 志木市 蕨市 草加市
横瀬町 日高市 入間市 三芳町 朝霞市 川口市 三郷市
秩父市 飯能市 所沢市 新座市 和光市 戸田市 八潮市",v2
12,千葉県,Chiba,千葉,CBA,"野田市 我孫子市 栄町 神崎町 香取市 銚子市
流山市 柏市 印西市 成田市 東庄町 旭市
松戸市 鎌ケ谷市 白井市 酒々井町 多古町 匝瑳市
市川市 船橋市 八千代市 佐倉市 富里市 横芝光町
浦安市 習志野市 千葉市 四街道市 八街市 山武市
袖ケ浦市 市原市 東金市 芝山町 茂原市 九十九里町
鋸南町 君津市 大多喜町 長柄町 大網白里市 白子町
木更津市 富津市 長南町 睦沢町 長生村 一宮町
館山市 南房総市 鴨川市 勝浦市 御宿町 いすみ市",v2
13,東京都,Tokyo,東京,TKY,"奥多摩町 青梅市 武蔵村山市 東村山市 板橋区 北区 足立区
檜原村 瑞穂町 東大和市 清瀬市 練馬区 荒川区 葛飾区
日の出町 羽村市 立川市 東久留米市 豊島区 台東区 江戸川区
あきる野市 福生市 小平市 西東京市 中野区 墨田区 江東区
八王子市 昭島市 国分寺市 武蔵野市 新宿区 文京区 中央区
- 日野市 国立市 小金井市 杉並区 千代田区 港区
新島村 多摩市 府中市 三鷹市 世田谷区 渋谷区 品川区
利島村 町田市 稲城市 調布市 狛江市 目黒区 大田区
大島町 神津島村 御蔵島村 三宅村 青ヶ島村 八丈町 小笠原村",v2
14,神奈川県,Kanagawa,神奈川,KNG,"- - 相模原市 大和市 川崎市
山北町 松田町 愛川町 座間市 横浜市
大井町 中井町 清川村 綾瀬市 鎌倉市
開成町 秦野市 厚木市 海老名市 逗子市
南足柄市 二宮町 伊勢原市 寒川町 葉山町
箱根町 小田原市 大磯町 茅ヶ崎市 横須賀市
湯河原町 真鶴町 平塚市 藤沢市 三浦市",v1
15,新潟県,Niigata,新潟,NIG,"佐渡市 粟島浦村 村上市 胎内市 関川村
新潟市 阿賀野市 阿賀町 聖籠町 新発田市
弥彦村 燕市 田上町 加茂市 五泉市
出雲崎町 刈羽村 長岡市 見附市 三条市
柏崎市 十日町市 小千谷市 魚沼市 南魚沼市
糸魚川市 上越市 妙高市 津南町 湯沢町",
16,富山県,Toyama,富山,TYM,"氷見市 射水市 魚津市 朝日町
高岡市 富山市 滑川市 入善町
矢部市 舟橋村 上市町 黒部市
南砺市 砺波市 立山市 -",
17,石川県,Ishikawa,石川,ISK,"輪島市 穴水町 能登町 珠洲市
志賀町 羽咋市 中能登町 七尾市
内灘町 かほく市 宝達志水町 津幡町
白山市 川北町 野々市市 金沢市
加賀市 小松市 能美市 -",
18,福井県,Fukui,福井,FKI,"- あわら市 勝山市 大野市
坂井市 福井市 永平寺町 池田町
越前町 鯖江市 越前市 南越前町
高浜町 若狭町 美浜町 敦賀市
おおい町 小浜市 - -",
19,山梨県,Yamanashi,山梨,YMN,"北杜市 甲斐市 山梨市 甲州市 丹波山村
韮崎市 昭和町 甲府市 笛吹市 小菅村
南アルプス市 中央市 富士河口湖町 西桂町 大月市
富士川町 市川三郷町 鳴沢村 忍野村 上野原市
早川町 身延町 富士吉田市 山中湖村 都留市
- 南部町 - - 道志村",v1
20,長野県,Nagano,長野,NGN,"小谷村 信濃町 飯綱町 小布施町 飯山市 野沢温泉村 栄村
白馬村 小川村 長野市 須坂市 高山村 中野市 木島平村
大町市 池田町 千曲市 坂城町 上田市 東御市 山ノ内町
松川村 安曇野市 青木村 長和町 小諸市 御代田町 軽井沢町
松本市 筑北村 生坂村 麻績村 立科町 佐久市 佐久穂町
木曽町 木祖村 山形村 塩尻市 小海町 南牧村 北相木村
王滝村 上松町 朝日村 辰野町 岡谷市 下諏訪町 南相木村
南木曽町 宮田村 飯島町 駒ヶ根市 伊那市 諏訪市 川上村
大桑村 南箕輪村 箕輪町 松川町 中川村 大鹿村 茅野市
平谷村 阿智村 下條村 泰阜村 高森町 豊丘村 原村
根羽村 売木村 阿南町 天龍村 飯田市 喬木村 富士見町",
21,岐阜県,Gifu,岐阜,GIF,"揖斐川町 本巣市 山県市 白川村 飛騨市 高山市
大野町 北方町 関市 美濃市 郡上市 下呂市
神戸町 瑞穂市 岐阜市 富加町 七宗町 東白川村
池田町 大垣市 岐南町 美濃加茂市 川辺町 白川町
垂井町 安八町 笠松町 坂祝町 八百津町 中津川市
関ヶ原町 輪之内町 各務原市 可児市 御嵩町 恵那市
養老町 海津市 羽島市 多治見市 土岐市 瑞浪市",
22,静岡県,Shizuoka,静岡,SZO,"川根本町 藤枝市 富士市 富士宮市 小山町
浜松市 焼津市 沼津市 御殿場市 函南町
森町 吉田町 長泉町 裾野市 三島市
湖西市 島田市 清水町 伊豆の国市 熱海市
磐田市 菊川市 西伊豆町 伊豆市 伊東市
袋井市 牧之原市 松崎町 河津町 東伊豆町
掛川市 御前崎市 静岡市 南伊豆町 下田市",
23,愛知県,Aichi,愛知,AIC,"一宮市 江南市 春日井市 瀬戸市 みよし市 豊田市
岩倉市 大口町 犬山市 尾張旭市 刈谷市 豊根村
稲沢市 北名古屋市 豊山町 長久手市 碧南市 設楽町
愛西市 扶桑町 日進市 東郷町 高浜市 東栄町
蟹江町 小牧市 名古屋市 豊明市 安城市 新城市
あま市 清須市 弥富市 飛鳥村 岡崎市 蒲郡市
津島市 大治町 常滑市 大府市 幸田町 豊川市
知多市 阿久比町 半田市 東海市 知立市 豊橋市
南知多町 美浜町 東浦町 武豊町 西尾市 田原市",
24,三重県,Mie,三重,MIE,"いなべ市 東員町 桑名市 木曽岬町 朝日町
菰野町 四日市市 川越町 伊勢市 鳥羽市
伊賀市 亀山市 鈴鹿市 明和市 志摩市
名張市 津市 松坂市 度会町 -
大台町 多気町 玉城町 大紀町 南伊勢町
熊野市 紀宝町 御浜町 尾鷺市 紀北市",
25,滋賀県,Shiga,滋賀,SGA,"大津市 高島市 長浜市 米原氏 多賀町
栗東市 草津市 - 彦根市 甲良町
野洲市 日野町 東近江市 豊郷町 愛荘町
守谷市 竜王町 近江八幡市 湖南市 甲賀市",
26,京都府,Kyoto,京都,KYT,"伊根町 舞鶴市 京都市 久御山町 宇治市
京丹後市 綾部市 向日市 京田辺市 城陽市
宮津市 京丹波町 長岡京市 井手町 宇治田原町
与謝野町 南丹市 大山崎町 精華町 和束町
福知山市 亀岡市 八幡市 木津川市 笠置町
- - - - 南山城村",
27,大阪府,Osaka,大阪,OSK,"能勢町 箕面市 豊能町 茨木市 高槻市 島本町
池田市 豊中市 吹田市 摂津市 寝屋川市 枚方市
守口市 門真市 東大阪市 大東市 四條畷市 交野市
大阪市 松原市 羽曳野市 藤井寺市 八尾市 柏原市
高石市 堺市 大阪狭山市 富田林市 河南町 太子町
岸和田市 忠岡町 泉大津市 和泉市 河内長野市 千早赤阪村
阪南市 泉南市 田尻町 泉佐野市 熊取町 貝塚市
岬町 - - - - -",
28,兵庫県,Hyogo,兵庫,HYG,"新温泉町 香美町 養父市 富岡市 朝来市 丹波市
佐用町 宍粟市 神河町 多可町 西脇市 丹波篠山市
上郡町 たつの市 市川町 加東市 三田市 猪名川町
相生市 太子町 福崎町 加西市 小野市 川西市
赤穂市 姫路市 高砂市 加古川市 三木市 宝塚市
- 淡路市 播磨町 稲美町 西宮市 伊丹市
南あわじ市 洲本市 明石市 神戸市 芦屋市 尼崎市",
